Code,Type,Resource,Unit,Base rate GBP,Factor,Rate EUR,Scope,Used on,Source group
P052,Plant,"cold planer, 2.10 m",hr,445.58,1.0,521.0613,Shared,2,
P053,Plant,compaction plate/roller,hr,7.8833,1.0,9.2187,Shared,66,
P054,Plant,compaction slipform finisher,hr,72.7,1.0,85.0154,Shared,48,
P055,Plant,"compressor tools, extra 50ft / 15 m hose",hr,0.5333,1.0,0.6236,Shared,25,
P056,Plant,compressor tools: clay spade,hr,3.36,1.0,3.9292,Shared,40,
P057,Plant,compressor tools: extra 15 m hose,hr,0.54,1.0,0.6315,Shared,40,
P058,Plant,compressor tools: hand held hammer drill,hr,2.14,1.0,2.5025,Shared,40,
P059,Plant,compressor tools: scabbler,hr,2.85,1.0,3.3328,Shared,0,
P060,Plant,"compressor, 65 cfm",hr,15.18,1.0,17.7515,Shared,21,
P061,Plant,"concrete paver, 6.0 m",hr,372.25,1.0,435.3091,Shared,48,
P062,Plant,"deadweight roller, 3 point, 10t",hr,81.12,1.0,94.8617,Shared,6,
P063,Plant,"deadweight rollers, 3 point, 10 t",hr,81.12,1.0,94.8617,Shared,1,
P064,Plant,disc saw,hr,1.4333,1.0,1.6761,Shared,95,
P065,Plant,electric screwdrivers,hr,1.935,1.0,2.2628,Shared,86,
P066,Plant,extra 15ft / 50 m hose,hr,0.5333,1.0,0.6236,Shared,21,
P067,Plant,extra 50 ft / 15 m hose,hr,0.53,1.0,0.6198,Shared,16,
P068,Plant,extra 50ft / 15 m hose,hr,0.5333,1.0,0.6236,Shared,4,
P069,Plant,"heat planer, 4.5 m",hr,172.24,1.0,201.4175,Shared,2,
P070,Plant,hydraulic backacter - 14.5 tonne,hr,97.5152,1.0,114.0343,Shared,180,
P071,Plant,hydraulic backacter - 21 tonne,hr,118.1818,1.0,138.2018,Shared,180,
P072,Plant,jcb 3cx backhoe,hr,68.08,1.0,79.6128,Shared,40,
P073,Plant,k637 rotary hammers,hr,0.84,1.0,0.9823,Shared,86,
P074,Plant,ladders,hr,1.66,1.0,1.9412,Shared,96,
P075,Plant,mixer,hr,84.56,1.0,98.8845,Shared,168,
P076,Plant,ne 1.50 m deep,hr,5.25,1.0,6.1394,Shared,206,
P077,Plant,pedestrian roller bomag bw 90s,hr,16.47,1.0,19.26,Shared,1,
P078,Plant,"pedestrian roller, bomag bw35",hr,10.84,1.0,12.6763,Shared,92,
P079,Plant,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,hr,4.92,1.0,5.7534,Shared,16,
P080,Plant,road forms,hr,3.56,1.0,4.1631,Shared,7,
P081,Plant,"scaffold, etc",hr,1.9,1.0,2.2219,Shared,168,
P082,Plant,self-propelled chip spreader,hr,74.92,1.0,87.6114,Shared,1,
P083,Plant,small power tools,hr,1.66,1.0,1.9412,Shared,245,
P084,Plant,small pump,hr,7.8667,1.0,9.1993,Shared,103,
P085,Plant,"stihl saw, 12"", petrol",hr,1.2333,1.0,1.4422,Shared,540,
P086,Plant,sundry tools,hr,1.9,1.0,2.2219,Shared,29,
P087,Plant,"support acrows, tirfors, kentledge, etc",hr,0.96,1.0,1.1226,Shared,77,
P088,Plant,tar boiler,hr,53.46,1.0,62.5161,Shared,15,
P089,Plant,"tar sprayer, 100 litre",hr,31.66,1.0,37.0232,Shared,50,
P090,Plant,tractor loader - 0.80 m3,hr,79.1212,1.0,92.5243,Shared,180,
P091,Plant,tractor with front bucket and integral 2 tool compressor,hr,161.435,1.0,188.7821,Shared,6,
P092,Plant,tractor/trailer,hr,61.04,1.0,71.3802,Shared,86,
P093,Plant,transformers/cables; junction box,hr,0.84,1.0,0.9823,Shared,96,
P094,Plant,transit van,hr,29.18,1.0,34.1231,Shared,96,
P095,Plant,"wheeled loader, 2.60 m2",hr,125.57,1.0,146.8416,Shared,52,
M001,Material,delivery to site for each additional mile from the concrete plant further than 5 miles (8 km),m3,3.51,1.0,4.1046,Shared,0,Material Resources Build-up Rate
M002,Material,"mix design, per trial mix",mix,392.73,1.0,459.2585,Shared,0,Material Resources Build-up Rate
M003,Material,"part loads, per m3 below full load",m3,44.07,1.0,51.5355,Shared,0,Material Resources Build-up Rate
M004,Material,waiting time (in excess of 6 mins/m3 'norm' discharge time),hr,136.26,1.0,159.3424,Shared,0,Material Resources Build-up Rate
M005,Material,Reinforcement; high tensile steel bars; straight; T12,tonne,1150.73,1.0,1345.6637,Shared,2,Material Resources Build-up Rate; Reinforcement; supply only ex works materials rates
M006,Material,Stainless steel bars; straight,tonne,6277.35,1.0,7340.7331,Shared,6,Material Resources Build-up Rate; Reinforcement; supply only ex works materials rates
M007,Material,Stainless steel bars; bent,tonne,6277.35,1.0,7340.7331,Shared,6,Material Resources Build-up Rate; Reinforcement; supply only ex works materials rates
M008,Material,A98,m2,6.2,1.0,7.2503,Shared,2,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M009,Material,A142,m2,5.1,1.0,5.9639,Shared,1,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M010,Material,A193,m2,7.26,1.0,8.4898,Shared,1,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M011,Material,A252,m2,8.04,1.0,9.402,Shared,1,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M012,Material,A393,m2,12.36,1.0,14.4538,Shared,1,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M013,Material,B196,m2,13.58,1.0,15.8805,Shared,1,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M014,Material,B283,m2,10.96,1.0,12.8166,Shared,2,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M015,Material,B385,m2,11.7,1.0,13.682,Shared,2,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M016,Material,B503,m2,16.83,1.0,19.681,Shared,2,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M017,Material,B785,m2,21.75,1.0,25.4344,Shared,2,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M018,Material,B1131,m2,28.62,1.0,33.4682,Shared,1,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M019,Material,C283,m2,6.68,1.0,7.8116,Shared,0,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M020,Material,C385,m2,8.77,1.0,10.2556,Shared,0,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M021,Material,C363,m2,13.95,1.0,16.3131,Shared,0,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M022,Material,C503,m2,11.12,1.0,13.0037,Shared,0,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M023,Material,C785,m2,15.82,1.0,18.4999,Shared,0,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M024,Material,D49,m2,1.58,1.0,1.8477,Shared,1,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M025,Material,D98,m2,3.17,1.0,3.707,Shared,0,Welded fabric to BS 4483 in sheets 4.80 x 2.40
M026,Material,12 mm dia.,nr,5.91,1.0,6.9112,Shared,1,"Reinforcement couplers, Lenton type; Type A; one bar twistable"
M027,Material,16 mm dia.,nr,7.53,1.0,8.8056,Shared,3,"Reinforcement couplers, Lenton type; Type A; one bar twistable"
M028,Material,20 mm dia.,nr,13.75,1.0,16.0792,Shared,3,"Reinforcement couplers, Lenton type; Type A; one bar twistable"
M029,Material,25 mm dia.,nr,21.43,1.0,25.0602,Shared,1,"Reinforcement couplers, Lenton type; Type A; one bar twistable"
M030,Material,32 mm dia.,nr,29.07,1.0,33.9945,Shared,1,"Reinforcement couplers, Lenton type; Type A; one bar twistable"
M031,Material,40 mm dia.,nr,41.95,1.0,49.0563,Shared,1,"Reinforcement couplers, Lenton type; Type A; one bar twistable"
M032,Material,100 mm dia.,m,27.375,1.0,32.0123,Shared,50,Clayware Pipes and Fittings; Vitrified clay; socketed pipes to BS EN 295; Straight pipes
M033,Material,150 mm dia.,m,19.21,1.0,22.4642,Shared,60,Clayware Pipes and Fittings; Vitrified clay; socketed pipes to BS EN 295; Straight pipes
M034,Material,225 mm dia.,m,48.06,1.0,56.2014,Shared,50,Clayware Pipes and Fittings; Vitrified clay; socketed pipes to BS EN 295; Straight pipes
M035,Material,300 mm dia.,m,49.23,1.0,57.5696,Shared,46,Clayware Pipes and Fittings; Vitrified clay; socketed pipes to BS EN 295; Straight pipes
M036,Material,400 mm dia.,m,193.26,1.0,225.9982,Shared,20,Clayware Pipes and Fittings; Vitrified clay; socketed pipes to BS EN 295; Straight pipes
M037,Material,450 mm dia.,m,137.405,1.0,160.6814,Shared,21,Clayware Pipes and Fittings; Vitrified clay; socketed pipes to BS EN 295; Straight pipes
M038,Material,1.6 m lengths; 100 mm dia.,m,31.245,1.0,36.5379,Shared,0,Vitrified clay; plain ended pipes to BS EN 295; Straight pipes
M039,Material,1.75 m lengths; 150 mm dia.,m,33.14,1.0,38.7539,Shared,0,Vitrified clay; plain ended pipes to BS EN 295; Straight pipes
M040,Material,1.75 m lengths; 225 mm dia.,m,106.05,1.0,124.0149,Shared,0,Vitrified clay; plain ended pipes to BS EN 295; Straight pipes
M041,Material,1.75 m lengths; 300 mm dia.,m,169.14,1.0,197.7923,Shared,0,Vitrified clay; plain ended pipes to BS EN 295; Straight pipes
M042,Material,"polypropylene coupling, 100 mm dia.",nr,20.11,1.0,23.5166,Shared,5,Couplings
M043,Material,"polypropylene coupling, 150 mm dia.",nr,37.96,1.0,44.3904,Shared,7,Couplings
M044,Material,"polypropylene coupling, 225 mm dia.",nr,42.73,1.0,49.9685,Shared,0,Couplings
M045,Material,"polypropylene coupling, 300 mm dia.",nr,87.71,1.0,102.5681,Shared,0,Couplings
M046,Material,"plain end; taper reducer, 225-150 mm",nr,242.15,1.0,283.1702,Shared,6,Tapers
M047,Material,"plain end; taper reducer, 150-100 mm",nr,117.09,1.0,136.925,Shared,1,Tapers
M048,Material,300 mm lengths; 75 mm dia.,nr,4.84,1.0,5.6599,Shared,0,"Field drains to BS 1196, butt joints, nominal bore; Hepworth"
M049,Material,300 mm lengths; 100 mm dia.,nr,6.79,1.0,7.9402,Shared,0,"Field drains to BS 1196, butt joints, nominal bore; Hepworth"
M050,Material,300 mm lengths; 150 mm dia.,nr,13.86,1.0,16.2079,Shared,0,"Field drains to BS 1196, butt joints, nominal bore; Hepworth"
M051,Material,300 mm lengths; 225 mm dia.,nr,35.67,1.0,41.7125,Shared,0,"Field drains to BS 1196, butt joints, nominal bore; Hepworth"
M052,Material,1.75 m lngth; 150 mm dia.,m,87.29,1.0,102.0769,Shared,0,"Perforated vitrified clay sleeved pipe, BS EN295; Hepline"
M053,Material,1.75 m lngth; 225 mm dia.,m,102.8,1.0,120.2143,Shared,0,"Perforated vitrified clay sleeved pipe, BS EN295; Hepline"
M054,Material,1.75 m lngth; 300 mm dia.,m,259.23,1.0,303.1436,Shared,0,"Perforated vitrified clay sleeved pipe, BS EN295; Hepline"
M055,Material,375 mm dia.,m,49.63,1.0,58.0373,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M056,Material,525 mm dia.,m,76.89,1.0,89.9152,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M057,Material,750 mm dia.,m,190.22,1.0,222.4433,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M058,Material,900 mm dia.,m,255.18,1.0,298.4075,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M059,Material,1200 mm dia.,m,436.65,1.0,510.6185,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M060,Material,1500 mm dia.,m,773.36,1.0,904.3672,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M061,Material,1800 mm dia.,m,1075.62,1.0,1257.83,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M062,Material,2100 mm dia.,m,1295.83,1.0,1515.3436,Shared,11,"Concrete pipes; Concrete pipes, BS5911 Class L"
M063,Material,bend; 300 mm dia.; <45 deg,nr,400.79,1.0,468.6838,Shared,14,Bends
M064,Material,bend; 375 mm dia.; <45 deg,nr,496.14,1.0,580.1861,Shared,1,Bends
M065,Material,bend; 450 mm dia.; <45 deg,nr,585.79,1.0,685.0228,Shared,3,Bends
M066,Material,bend; 525 mm dia.; <45 deg,nr,768.78,1.0,899.0113,Shared,1,Bends
M067,Material,bend; 750 mm dia.; <45 deg,nr,1902.42,1.0,2224.6899,Shared,1,Bends
M068,Material,bend; 900 mm dia.; 45-90 deg,nr,2365.12,1.0,2765.7713,Shared,2,Bends
