Code,Type,Resource,Unit,Base rate GBP,Factor,Rate EUR,Scope,Used on,Source group
MX2496,Material,"300 mm pipes; in trenches, depth",m,184.2,1.0,215.4035,Item-specific,1,item-specific
MX2497,Material,"300 mm pipes; in trenches, depth",m,184.2,1.0,215.4035,Item-specific,1,item-specific
MX2498,Material,"300 mm pipes; in trenches, depth",m,184.2,1.0,215.4035,Item-specific,1,item-specific
MX2499,Material,"300 mm pipes; in trenches, depth",m,184.2,1.0,215.4035,Item-specific,1,item-specific
MX2500,Material,"300 mm pipes; in trenches, depth",m,184.2,1.0,215.4035,Item-specific,1,item-specific
MX2501,Material,"300 mm pipes; in trenches, depth",m,184.2,1.0,215.4035,Item-specific,1,item-specific
MX2504,Material,"300 mm pipes; in trenches, depth",nr,618.48,1.0,723.2505,Item-specific,1,item-specific
MX2507,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2508,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2509,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2510,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2511,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2512,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2513,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2514,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2515,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2516,Material,"Unplasticized pvc perforated pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless sta",m,19.77,1.0,23.119,Item-specific,1,item-specific
MX2518,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2519,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2520,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2521,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2522,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2523,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2524,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2525,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2526,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2527,Material,"110 mm pipes; in trench, depth",m,28.08,1.0,32.8368,Item-specific,1,item-specific
MX2529,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2530,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2531,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2532,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2533,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2534,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2535,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2536,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2537,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2538,Material,"160 mm pipes; in trench, depth",m,69.94,1.0,81.7878,Item-specific,1,item-specific
MX2540,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2541,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2542,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2543,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2544,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2545,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2546,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2547,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2548,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2549,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",m,23.05,1.0,26.9547,Item-specific,1,item-specific
MX2550,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",nr,55.87,1.0,65.3344,Item-specific,1,item-specific
MX2551,Material,"Unplasticized pvc pipes; ring seal sockets; excavation and supports, backfilling; 6 m pipe lengths unless stated otherwi",nr,74.49,1.0,87.1086,Item-specific,1,item-specific
MX2553,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2554,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2555,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2556,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2557,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2558,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2559,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2560,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2561,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2562,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",m,10.14,1.0,11.8577,Item-specific,1,item-specific
MX2563,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",nr,88.09,1.0,103.0124,Item-specific,1,item-specific
MX2564,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",nr,87.12,1.0,101.8781,Item-specific,1,item-specific
MX2565,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",nr,32.88,1.0,38.4499,Item-specific,1,item-specific
MX2566,Material,"Unplasticized pvc pipes; ring seal sockets; 110 mm pipes; in trenches, depth",nr,112.82,1.0,131.9317,Item-specific,1,item-specific
MX2568,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2569,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2570,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2571,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2572,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2573,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2574,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2575,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2576,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2577,Material,"160 mm pipes; in trenches, depth",m,28.58,1.0,33.4215,Item-specific,1,item-specific
MX2578,Material,"160 mm pipes; in trenches, depth",nr,344.8,1.0,403.2091,Item-specific,1,item-specific
MX2579,Material,"160 mm pipes; in trenches, depth",nr,387.13,1.0,452.7098,Item-specific,1,item-specific
MX2581,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2582,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2583,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2584,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2585,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2586,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2587,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2588,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2589,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2590,Material,"225 mm pipes; in trenches, depth",m,163.67,1.0,191.3957,Item-specific,1,item-specific
MX2592,Material,"225 mm pipes; in trenches, depth",nr,801.39,1.0,937.1455,Item-specific,1,item-specific
MX2594,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2595,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2596,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2597,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2598,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2599,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2600,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2601,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2602,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2603,Material,"300 mm pipes; in trenches, depth",m,254.27,1.0,297.3433,Item-specific,1,item-specific
MX2604,Material,"300 mm pipes; in trenches, depth",nr,2079.04,1.0,2431.2294,Item-specific,1,item-specific
MX2605,Material,"300 mm pipes; in trenches, depth",nr,1328.65,1.0,1553.7233,Item-specific,1,item-specific
MX2607,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2608,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2609,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2610,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2611,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2612,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2613,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2614,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2615,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2616,Material,"Unplasticized pvc pipes; polypropylene couplings; excavation and supports, backfilling; 6 m pipe lengths unless stated o",m,20.42,1.0,23.8791,Item-specific,1,item-specific
MX2618,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2619,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2620,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2621,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2622,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2623,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2624,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2625,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2626,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2627,Material,"160 mm pipes; in trenches, depth",m,67.65,1.0,79.1099,Item-specific,1,item-specific
MX2640,Material,"300 mm pipes; in trenches, depth",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2642,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2643,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2644,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2645,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2646,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2647,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2648,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2649,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2650,Material,"Unplasticized pvc pipes; polypropylene couplings; 300 mm pipes; in trenches, depth (continued)",m,255.2,1.0,298.4309,Item-specific,1,item-specific
MX2662,Material,"Ultrarib unplasticized pvc pipes; ring seal joints; excavation and supports, backfilling; 150 mm pipes; in trenches, dep",nr,72.79,1.0,85.1206,Item-specific,1,item-specific
MX2663,Material,"Ultrarib unplasticized pvc pipes; ring seal joints; excavation and supports, backfilling; 150 mm pipes; in trenches, dep",nr,201.37,1.0,235.4821,Item-specific,1,item-specific
MX2676,Material,"225 mm pipes; in trenches, depth",nr,698.53,1.0,816.861,Item-specific,1,item-specific
MX2689,Material,"300 mm pipes; in trenches, depth",nr,1614.01,1.0,1887.4233,Item-specific,1,item-specific
MX2711,Material,Valves; Non-return valves; cast iron; single door; tidal flap,nr,406.17,1.0,474.9752,Item-specific,1,item-specific
MX2712,Material,Valves; Non-return valves; cast iron; single door; tidal flap,nr,774.8,1.0,906.0511,Item-specific,1,item-specific
MX2713,Material,Valves; Non-return valves; cast iron; single door; tidal flap,nr,1128.63,1.0,1319.8199,Item-specific,1,item-specific
MX2714,Material,Valves; Non-return valves; cast iron; single door; tidal flap,nr,1748.7,1.0,2044.9298,Item-specific,1,item-specific
MX2715,Material,Valves; Non-return valves; cast iron; single door; tidal flap,nr,2414.45,1.0,2823.4578,Item-specific,1,item-specific
MX2717,Material,Penstocks; cast iron; wall mounted; hand operated,nr,825,1.0,964.755,Item-specific,1,item-specific
MX2718,Material,Penstocks; cast iron; wall mounted; hand operated,nr,1154.83,1.0,1350.4582,Item-specific,1,item-specific
MX2719,Material,Penstocks; cast iron; wall mounted; hand operated,nr,1377.67,1.0,1611.0473,Item-specific,1,item-specific
MX2720,Material,Penstocks; cast iron; wall mounted; hand operated,nr,2228.61,1.0,2606.1365,Item-specific,1,item-specific
MX2721,Material,Penstocks; cast iron; wall mounted; hand operated,nr,3849.41,1.0,4501.5001,Item-specific,1,item-specific
MX2778,Material,750 x 700 chamber 500 depth to invert,nr,35.12,1.0,41.0693,Item-specific,1,item-specific
MX2779,Material,750 x 700 chamber 500 depth to invert,nr,102.95,1.0,120.3897,Item-specific,1,item-specific
MX2780,Material,750 x 700 chamber 500 depth to invert,nr,169.95,1.0,198.7395,Item-specific,1,item-specific
MX2781,Material,750 x 700 chamber 500 depth to invert,nr,276.96,1.0,323.877,Item-specific,1,item-specific
MX2782,Material,750 x 700 chamber 500 depth to invert,nr,45.84,1.0,53.6053,Item-specific,1,item-specific
MX2783,Material,750 x 700 chamber 500 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2784,Material,750 x 700 chamber 500 depth to invert,nr,972.34,1.0,1137.0544,Item-specific,1,item-specific
MX2787,Material,750 x 700 chamber 1000 depth to invert,nr,35.12,1.0,41.0693,Item-specific,1,item-specific
MX2788,Material,750 x 700 chamber 1000 depth to invert,nr,205.89,1.0,240.7678,Item-specific,1,item-specific
MX2789,Material,750 x 700 chamber 1000 depth to invert,nr,169.95,1.0,198.7395,Item-specific,1,item-specific
MX2790,Material,750 x 700 chamber 1000 depth to invert,nr,276.96,1.0,323.877,Item-specific,1,item-specific
MX2791,Material,750 x 700 chamber 1000 depth to invert,nr,68.76,1.0,80.4079,Item-specific,1,item-specific
MX2792,Material,750 x 700 chamber 1000 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2793,Material,750 x 700 chamber 1000 depth to invert,nr,1098.2,1.0,1284.2351,Item-specific,1,item-specific
MX2796,Material,750 x 700 chamber 1500 depth to invert,nr,35.12,1.0,41.0693,Item-specific,1,item-specific
MX2797,Material,750 x 700 chamber 1500 depth to invert,nr,308.84,1.0,361.1575,Item-specific,1,item-specific
MX2798,Material,750 x 700 chamber 1500 depth to invert,nr,169.95,1.0,198.7395,Item-specific,1,item-specific
MX2799,Material,750 x 700 chamber 1500 depth to invert,nr,276.96,1.0,323.877,Item-specific,1,item-specific
MX2800,Material,750 x 700 chamber 1500 depth to invert,nr,91.68,1.0,107.2106,Item-specific,1,item-specific
MX2801,Material,750 x 700 chamber 1500 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2802,Material,750 x 700 chamber 1500 depth to invert,nr,1224.07,1.0,1431.4275,Item-specific,1,item-specific
MX2805,Material,900 x 700 chamber 500 depth to invert,nr,40.97,1.0,47.9103,Item-specific,1,item-specific
MX2806,Material,900 x 700 chamber 500 depth to invert,nr,113.6,1.0,132.8438,Item-specific,1,item-specific
MX2807,Material,900 x 700 chamber 500 depth to invert,nr,169.95,1.0,198.7395,Item-specific,1,item-specific
MX2808,Material,900 x 700 chamber 500 depth to invert,nr,276.96,1.0,323.877,Item-specific,1,item-specific
MX2809,Material,900 x 700 chamber 500 depth to invert,nr,22.92,1.0,26.8026,Item-specific,1,item-specific
MX2814,Material,900 x 700 chamber 1000 depth to invert,nr,40.97,1.0,47.9103,Item-specific,1,item-specific
MX2815,Material,900 x 700 chamber 1000 depth to invert,nr,227.19,1.0,265.676,Item-specific,1,item-specific
MX2816,Material,900 x 700 chamber 1000 depth to invert,nr,169.95,1.0,198.7395,Item-specific,1,item-specific
MX2817,Material,900 x 700 chamber 1000 depth to invert,nr,276.96,1.0,323.877,Item-specific,1,item-specific
MX2818,Material,900 x 700 chamber 1000 depth to invert,nr,68.76,1.0,80.4079,Item-specific,1,item-specific
MX2823,Material,900 x 700 chamber 1500 depth to invert,nr,40.97,1.0,47.9103,Item-specific,1,item-specific
MX2825,Material,900 x 700 chamber 1500 depth to invert,nr,169.95,1.0,198.7395,Item-specific,1,item-specific
MX2827,Material,Brick construction; 900 x 700 chamber 1500 depth to invert (continued),nr,276.96,1.0,323.877,Item-specific,1,item-specific
MX2828,Material,Brick construction; 900 x 700 chamber 1500 depth to invert (continued),nr,91.68,1.0,107.2106,Item-specific,1,item-specific
MX2833,Material,1050 x 700 chamber 1500 depth to invert,nr,49.75,1.0,58.1776,Item-specific,1,item-specific
MX2834,Material,1050 x 700 chamber 1500 depth to invert,nr,372.74,1.0,435.8822,Item-specific,1,item-specific
MX2835,Material,1050 x 700 chamber 1500 depth to invert,nr,181.49,1.0,212.2344,Item-specific,1,item-specific
MX2836,Material,1050 x 700 chamber 1500 depth to invert,nr,273.73,1.0,320.0999,Item-specific,1,item-specific
MX2837,Material,1050 x 700 chamber 1500 depth to invert,nr,183.37,1.0,214.4329,Item-specific,1,item-specific
MX2838,Material,1050 x 700 chamber 1500 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2839,Material,1050 x 700 chamber 1500 depth to invert,nr,1402.59,1.0,1640.1887,Item-specific,1,item-specific
MX2842,Material,1050 x 700 chamber 2500 depth to invert,nr,49.75,1.0,58.1776,Item-specific,1,item-specific
MX2843,Material,1050 x 700 chamber 2500 depth to invert,nr,862.3,1.0,1008.3736,Item-specific,1,item-specific
MX2844,Material,1050 x 700 chamber 2500 depth to invert,nr,181.49,1.0,212.2344,Item-specific,1,item-specific
MX2845,Material,1050 x 700 chamber 2500 depth to invert,nr,219.52,1.0,256.7067,Item-specific,1,item-specific
MX2846,Material,1050 x 700 chamber 2500 depth to invert,nr,273.73,1.0,320.0999,Item-specific,1,item-specific
MX2847,Material,1050 x 700 chamber 2500 depth to invert,nr,183.37,1.0,214.4329,Item-specific,1,item-specific
MX2848,Material,1050 x 700 chamber 2500 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2849,Material,1050 x 700 chamber 2500 depth to invert,nr,2111.67,1.0,2469.3869,Item-specific,1,item-specific
MX2852,Material,1050 x 700 chamber 3500 depth to invert,nr,49.75,1.0,58.1776,Item-specific,1,item-specific
MX2853,Material,1050 x 700 chamber 3500 depth to invert,nr,1110.8,1.0,1298.9695,Item-specific,1,item-specific
MX2854,Material,1050 x 700 chamber 3500 depth to invert,nr,219.52,1.0,256.7067,Item-specific,1,item-specific
MX2855,Material,1050 x 700 chamber 3500 depth to invert,nr,181.49,1.0,212.2344,Item-specific,1,item-specific
MX2856,Material,1050 x 700 chamber 3500 depth to invert,nr,289.54,1.0,338.5881,Item-specific,1,item-specific
MX2857,Material,1050 x 700 chamber 3500 depth to invert,nr,252.13,1.0,294.8408,Item-specific,1,item-specific
MX2858,Material,1050 x 700 chamber 3500 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2859,Material,1050 x 700 chamber 3500 depth to invert,nr,2444.74,1.0,2858.879,Item-specific,1,item-specific
MX2862,Material,1350 x 700 chamber 2500 depth to invert,nr,61.46,1.0,71.8713,Item-specific,1,item-specific
MX2863,Material,1350 x 700 chamber 2500 depth to invert,nr,1010.13,1.0,1181.246,Item-specific,1,item-specific
MX2864,Material,1350 x 700 chamber 2500 depth to invert,nr,219.52,1.0,256.7067,Item-specific,1,item-specific
MX2865,Material,1350 x 700 chamber 2500 depth to invert,nr,225.91,1.0,264.1792,Item-specific,1,item-specific
MX2866,Material,1350 x 700 chamber 2500 depth to invert,nr,304.06,1.0,355.5678,Item-specific,1,item-specific
MX2867,Material,1350 x 700 chamber 2500 depth to invert,nr,183.37,1.0,214.4329,Item-specific,1,item-specific
MX2868,Material,1350 x 700 chamber 2500 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2869,Material,1350 x 700 chamber 2500 depth to invert,nr,2345.95,1.0,2743.3539,Item-specific,1,item-specific
MX2872,Material,1350 x 700 chamber 3500 depth to invert,nr,61.46,1.0,71.8713,Item-specific,1,item-specific
MX2873,Material,1350 x 700 chamber 3500 depth to invert,nr,1301.22,1.0,1521.6467,Item-specific,1,item-specific
MX2874,Material,1350 x 700 chamber 3500 depth to invert,nr,219.52,1.0,256.7067,Item-specific,1,item-specific
MX2875,Material,1350 x 700 chamber 3500 depth to invert,nr,225.91,1.0,264.1792,Item-specific,1,item-specific
MX2876,Material,1350 x 700 chamber 3500 depth to invert,nr,304.06,1.0,355.5678,Item-specific,1,item-specific
MX2877,Material,1350 x 700 chamber 3500 depth to invert,nr,252.13,1.0,294.8408,Item-specific,1,item-specific
MX2878,Material,1350 x 700 chamber 3500 depth to invert,nr,341.51,1.0,399.3618,Item-specific,1,item-specific
MX2879,Material,1350 x 700 chamber 3500 depth to invert,nr,2705.81,1.0,3164.1742,Item-specific,1,item-specific
MX2882,Material,1350 x 700 chamber 4500 depth to invert,nr,61.46,1.0,71.8713,Item-specific,1,item-specific
MX2883,Material,1350 x 700 chamber 4500 depth to invert,nr,1592.31,1.0,1862.0473,Item-specific,1,item-specific
MX2884,Material,1350 x 700 chamber 4500 depth to invert,nr,219.52,1.0,256.7067,Item-specific,1,item-specific
MX2885,Material,1350 x 700 chamber 4500 depth to invert,nr,225.91,1.0,264.1792,Item-specific,1,item-specific
MX2886,Material,1350 x 700 chamber 4500 depth to invert,nr,304.06,1.0,355.5678,Item-specific,1,item-specific
MX2887,Material,1350 x 700 chamber 4500 depth to invert,nr,320.89,1.0,375.2488,Item-specific,1,item-specific
