Item ref,Class,Section,Sub-heading,Item,Item unit,Line,Type,Code,Resource,Qty,Qty unit,Rate EUR,Line cost EUR,Crew / spread
125,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,10,Plant,P079,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,0.839184,hr,5.7534,4.83,Plant Resources Build-up Rate; Trial holes
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,1,Labour,L011,ganger/chargehand (skill rate 4),0.481043,hr,49.2431,23.69,Labour Gang Build-up Rate; Trial hole gang
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,2,Labour,L019,skilled operative (skill rate 4),0.481043,hr,46.2624,22.25,Labour Gang Build-up Rate; Trial hole gang
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,3,Labour,L023,unskilled operative (general),0.962086,hr,38.7141,37.25,Labour Gang Build-up Rate; Trial hole gang
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,4,Labour,L016,plant operator (skill rate 3),0.481043,hr,61.1185,29.4,Labour Gang Build-up Rate; Trial hole gang
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,5,Plant,P045,8 tonne wheeled backacter,1.024645,hr,84.6646,86.75,Plant Resources Build-up Rate; Trial holes
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,6,Plant,P028,3 tonne dumper,1.024645,hr,24.6393,25.25,Plant Resources Build-up Rate; Trial holes
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,7,Plant,P031,"3.7 m3/min compressor, 2 tool",1.024645,hr,24.8147,25.43,Plant Resources Build-up Rate; Trial holes
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,8,Plant,P021,2.4 m3/min road breakers,2.049291,hr,9.706,19.89,Plant Resources Build-up Rate; Trial holes
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,9,Plant,P067,extra 50 ft / 15 m hose,1.024645,hr,0.6198,0.64,Plant Resources Build-up Rate; Trial holes
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,10,Plant,P079,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,1.024645,hr,5.7534,5.9,Plant Resources Build-up Rate; Trial holes
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,1,Labour,L011,ganger/chargehand (skill rate 4),0.254161,hr,49.2431,12.52,Labour Gang Build-up Rate; Trial hole gang
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,2,Labour,L019,skilled operative (skill rate 4),0.254161,hr,46.2624,11.76,Labour Gang Build-up Rate; Trial hole gang
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,3,Labour,L023,unskilled operative (general),0.508323,hr,38.7141,19.68,Labour Gang Build-up Rate; Trial hole gang
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,4,Labour,L016,plant operator (skill rate 3),0.254161,hr,61.1185,15.53,Labour Gang Build-up Rate; Trial hole gang
